"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.190388438E1,5.497787148E-3,-9.724799991E-1,-4.277976453E-1
1.192400000E1,-3.234095126E-2,-9.314473271E-1,-4.899837375E-1
1.194800000E1,-4.953244328E-2,-8.771326542E-1,-5.560444593E-1
1.197188281E1,-3.619812801E-2,-8.192575574E-1,-5.755921602E-1
1.199200000E1,-1.581268385E-2,-7.658504844E-1,-5.581039190E-1
1.201221406E1,-1.378810150E-3,-7.065267563E-1,-5.413312912E-1
1.203588438E1,-7.330382708E-3,-6.361201406E-1,-5.422388911E-1
1.205588438E1,-1.663298719E-2,-5.779308677E-1,-5.572836399E-1
1.207600000E1,-1.179842558E-2,-5.165127516E-1,-5.658531785E-1
1.209988438E1,6.161012221E-3,-4.417777359E-1,-5.570567250E-1
1.211988438E1,1.315978263E-2,-3.837804496E-1,-5.406332016E-1
1.213988438E1,-4.049163777E-3,-3.177720904E-1,-5.227959156E-1
1.215988438E1,-4.731587693E-2,-2.525840402E-1,-5.182406306E-1
1.218388438E1,-1.045626774E-1,-1.699427068E-1,-5.365490913E-1
1.220400000E1,-1.202008277E-1,-1.020144969E-1,-5.432686210E-1
1.222788438E1,-8.972737938E-2,-1.963495463E-2,-5.234068036E-1
1.225188438E1,-2.675589733E-2,6.377433240E-2,-4.822868407E-1
1.227200000E1,6.789330859E-3,1.351931989E-1,-4.494048357E-1
1.229588438E1,8.220500313E-3,2.147627622E-1,-4.317595363E-1
1.231652656E1,-1.000073645E-2,2.827258706E-1,-4.434183538E-1
1.234000000E1,-2.982767671E-2,3.600265086E-1,-4.542219341E-1
1.236473906E1,-2.158972248E-2,4.388455749E-1,-4.387932122E-1
1.238788281E1,6.911503617E-3,5.119574070E-1,-3.943222463E-1
1.240800000E1,1.684242673E-2,5.710542798E-1,-3.538480401E-1
1.243200000E1,8.272860199E-3,6.375338435E-1,-3.235840499E-1
1.245588281E1,-1.120501384E-2,7.025473714E-1,-3.097784817E-1
1.247600000E1,-1.738347858E-2,7.520798445E-1,-2.842094004E-1
1.250000000E1,1.261873078E-2,8.099898696E-1,-2.348864079E-1
1.252388281E1,6.433283538E-2,8.617911935E-1,-1.694365591E-1
1.254400000E1,8.157669008E-2,8.992983699E-1,-1.241976321E-1
1.256800000E1,7.321656495E-2,9.380795360E-1,-1.111774743E-1
1.259188438E1,4.312708601E-2,9.730036259E-1,-1.191361770E-1
1.261200000E1,2.415535599E-2,9.972113371E-1,-1.035154760E-1
1.263600000E1,4.253367335E-2,1.020755768E0,-5.133013427E-2
1.265988438E1,6.410594285E-2,1.038209081E0,1.244419720E-2
1.268000000E1,5.715953186E-2,1.048733473E0,5.586798862E-2
1.270400000E1,2.895501256E-2,1.053096771E0,7.602654397E-2
1.272788438E1,-1.553343050E-2,1.050635815E0,8.122762293E-2
1.274800000E1,-4.237659276E-2,1.045330048E0,1.004960611E-1
1.277200000E1,-4.204498231E-2,1.034055233E0,1.546710730E-1
1.279588438E1,-2.982767671E-2,1.014455199E0,2.265437394E-1
1.281660938E1,-2.694788389E-2,9.942966104E-1,2.718350291E-1
1.284000000E1,-3.783873841E-2,9.673138261E-1,2.891661525E-1
1.286388281E1,-6.749188155E-2,9.305746555E-1,2.914350629E-1
1.288400000E1,-9.363691509E-2,8.991587162E-1,3.025528193E-1
1.290800000E1,-1.061509252E-1,8.580038548E-1,3.349112272E-1
1.293188438E1,-1.153837144E-1,8.133234382E-1,3.796614707E-1
1.295200000E1,-1.296605170E-1,7.725525498E-1,3.974638283E-1
1.297600000E1,-1.577254087E-1,7.207686305E-1,3.750363588E-1
1.299988438E1,-2.042907923E-1,6.611307263E-1,3.466049433E-1
1.302000000E1,-2.371204346E-1,6.125756502E-1,3.349286914E-1
1.304400000E1,-2.486047000E-1,5.527282953E-1,3.500432372E-1
1.306478281E1,-2.381327152E-1,4.985009432E-1,3.803595901E-1
1.308800000E1,-2.227563709E-1,4.376413226E-1,3.929085135E-1
1.311200000E1,-2.126858234E-1,3.701319695E-1,3.607944548E-1
1.313588438E1,-2.267531753E-1,3.016278148E-1,3.308097124E-1
1.315600000E1,-2.470338941E-1,2.446078956E-1,3.253817260E-1
1.318000000E1,-2.468070090E-1,1.753706783E-1,3.432888091E-1
1.320388438E1,-2.401398569E-1,1.041437984E-1,3.714235127E-1
1.322400000E1,-2.327222079E-1,4.431391135E-2,3.659780920E-1
1.324800000E1,-2.352354825E-1,-2.862340026E-2,3.321710527E-1
1.327188438E1,-2.493551821E-1,-1.010545641E-1,3.152588308E-1
1.329200000E1,-2.617295682E-1,-1.629090309E-1,3.138101995E-1
1.331253125E1,-2.520604432E-1,-2.213426530E-1,3.194650710E-1
1.333588438E1,-2.282890677E-1,-2.958158553E-1,3.292039931E-1
1.335588438E1,-1.955117881E-1,-3.522074521E-1,3.142465353E-1
1.337600000E1,-1.667836607E-1,-4.108155966E-1,2.893406749E-1
1.339988438E1,-1.443212777E-1,-4.797037542E-1,2.713463306E-1
1.342388438E1,-1.315280050E-1,-5.449092388E-1,2.703340352E-1
1.344400000E1,-1.234820411E-1,-5.973913074E-1,2.701595128E-1
1.346788438E1,-1.104967967E-1,-6.603627801E-1,2.574709654E-1
1.348788750E1,-1.021192148E-1,-7.091971040E-1,2.224596590E-1
1.351273750E1,-1.006182283E-1,-7.683113813E-1,1.635199040E-1
1.353588438E1,-1.001993492E-1,-8.220674992E-1,1.307426095E-1
1.355988438E1,-9.353219718E-2,-8.714079857E-1,1.178620830E-1
1.358000000E1,-7.438593358E-2,-9.055292010E-1,1.218065247E-1
1.360418438E1,-3.693116829E-2,-9.446769357E-1,1.169370562E-1
1.362419375E1,-5.480333697E-3,-9.732130170E-1,8.894197643E-2
1.364800000E1,8.569566533E-3,-1.006199718E0,5.016076192E-2
1.367258594E1,1.626646891E-2,-1.029901385E0,2.780309506E-2
1.369276406E1,2.078687213E-2,-1.048907995E0,1.521927118E-2
1.371589062E1,2.256710641E-2,-1.063097477E0,3.769911127E-3
1.373988438E1,2.790781483E-2,-1.072836399E0,-2.967059799E-2
1.375988438E1,2.907718532E-2,-1.077810645E0,-7.485716790E-2
1.377988438E1,2.406809106E-2,-1.077321887E0,-1.173733920E-1
1.379988438E1,1.858775690E-2,-1.073272824E0,-1.510407925E-1
1.382032188E1,1.371828746E-2,-1.066692829E0,-1.744282097E-1
1.384420000E1,2.246238664E-2,-1.052590609E0,-1.866280586E-1
1.386420156E1,4.347615317E-2,-1.037982225E0,-1.883384734E-1
1.388421094E1,5.984733999E-2,-1.019202471E0,-1.963844448E-1
1.390421875E1,6.976080686E-2,-9.981014132E-1,-2.092475295E-1
1.392800000E1,6.794566661E-2,-9.703158140E-1,-2.085842937E-1
1.395261094E1,4.729842395E-2,-9.380272031E-1,-1.949532777E-1
1.397276406E1,3.026400879E-2,-9.073966742E-1,-1.939758956E-1
1.399589063E1,1.712168008E-2,-8.663988709E-1,-2.051459998E-1
1.401988438E1,-1.692969352E-3,-8.213694096E-1,-2.372426093E-1
1.404000000E1,-1.776745170E-2,-7.835481167E-1,-2.796890140E-1
1.406420156E1,-3.202679008E-2,-7.306122780E-1,-3.121521473E-1
1.408420156E1,-3.101450019E-2,-6.842563152E-1,-3.218910694E-1
1.410436094E1,-1.858775690E-2,-6.364692450E-1,-3.340211213E-1
